cutoff,battery_id,policy,method,selected_config,inner_RMSE,candidate_count,exact_peer_count,reference_count,used_peer_count,effective_peer_count
50,1,3_6C-80PER_3_6C,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0011162863825835432,6,1,39,1,1.0
50,1,3_6C-80PER_3_6C,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007258951088129369,18,1,39,1,1.0
50,1,3_6C-80PER_3_6C,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011170725400576399,18,1,39,1,1.0
50,1,3_6C-80PER_3_6C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008588086535040667,18,1,39,39,2.1203965308481485
50,3,3_6C-80PER_3_6C,trajectory,"{""L"":30,""tau_scale"":0.75}",0.0011186884641695637,6,1,39,1,1.0
50,3,3_6C-80PER_3_6C,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":1.5}",0.0007315246667487226,18,1,39,1,1.0
50,3,3_6C-80PER_3_6C,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0011180136276714848,18,1,39,1,1.0
50,3,3_6C-80PER_3_6C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0008611208378876441,18,1,39,39,11.482521269663003
50,4,80PER_3_6C,trajectory,"{""L"":20,""tau_scale"":0.75}",0.0005607399662001941,6,1,39,1,1.0
50,4,80PER_3_6C,slope,"{""L"":20,""clip_high"":1.5,""clip_low"":0.5,""tau_scale"":1.5}",0.00041349638963529285,18,1,39,1,1.0
50,4,80PER_3_6C,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0005612224419556431,18,1,39,1,1.0
50,4,80PER_3_6C,soft_policy,"{""L"":20,""strategy_tau"":1.0,""tau_scale"":0.75}",0.0004904836522814974,18,1,39,39,4.851273600470082
50,6,80PER_3_6C,trajectory,"{""L"":50,""tau_scale"":0.75}",0.0007865516970595084,6,1,39,1,1.0
50,6,80PER_3_6C,slope,"{""L"":20,""clip_high"":2.0,""clip_low"":0.25,""tau_scale"":0.75}",0.0006903125652290839,18,1,39,1,1.0
50,6,80PER_3_6C,multivariate,"{""L"":20,""dynamic_weight"":0.25,""tau_scale"":0.75}",0.0008249122971115393,18,1,39,1,1.0
