category,feature,description
每循环-衰减,cycle,循环次数（时间/累积负载代理）
每循环-衰减,log_cycle,循环次数对数（非线性时间基）
每循环-衰减,cycle_sq,循环次数平方（非线性时间基）
每循环-衰减,capacity,原始可用容量（与 SOH 同源，注意冗余）
每循环-衰减,SOH,原始 SOH
每循环-衰减,SOH_smooth,平滑 SOH
每循环-衰减,soh1,第 1 圈平滑 SOH（电池级基线）
每循环-衰减,soh_loss,soh1 - SOH_smooth（相对自身基线的衰减量）
每循环-衰减,dsoh,SOH_smooth 一阶差分（瞬时衰减）
每循环-衰减,abs_dsoh,一阶差分绝对值（衰减速率幅度）
每循环-衰减,soh_slope_w10,尾部 10 圈 SOH_smooth OLS 斜率
每循环-衰减,soh_slope_w25,尾部 25 圈 SOH_smooth OLS 斜率
每循环-衰减,soh_slope_w50,尾部 50 圈 SOH_smooth OLS 斜率
每循环-衰减,soh_curv_w50,尾部 50 圈二次拟合曲率
每循环-衰减,soh_std_w25,尾部 25 圈 SOH_smooth 标准差（波动）
每循环-衰减,chargetime,充电时间（原始过程量）
每循环-衰减,ct_slope_w25,尾部 25 圈充电时间 OLS 斜率
每循环-衰减,ct_std_w25,尾部 25 圈充电时间标准差
每循环-衰减,ct_cummean,至当前循环充电时间累计均值
每循环-衰减,IR,内阻（原始过程量）
每循环-衰减,ir_slope_w25,尾部 25 圈内阻 OLS 斜率
每循环-衰减,ir_std_w25,尾部 25 圈内阻标准差
每循环-衰减,ir_delta,内阻相对第 1 圈变化量
每循环-衰减,ir_rel,内阻相对第 1 圈变化率
每循环-衰减,Tavg,平均温度（原始过程量）
每循环-衰减,tavg_slope_w25,尾部 25 圈温度 OLS 斜率
每循环-衰减,tavg_std_w25,尾部 25 圈温度标准差
每循环-衰减,tavg_cummean,至当前循环温度累计均值
每循环-衰减,tavg_max_w25,尾部 25 圈温度最大值
策略/静态,C1,第一阶段充电倍率（缺失按同义策略补 3.6）
策略/静态,Q1,阶段切换 SOC
策略/静态,C2,第二阶段充电倍率
策略/静态,initial_capacity,初始容量
策略/静态,mean_chargetime,电池级平均充电时间
策略/静态,mean_IR,电池级平均内阻
策略/静态,mean_Tavg,电池级平均温度
策略/静态,dataset_id,实验批次
策略/静态,t1,第一段等效充电小时数 Q1/(100·C1)
策略/静态,t2,第二段等效充电小时数 (80-Q1)/(100·C2)
策略/静态,t12,t1+t2（至 80% SOC 等效时间）
策略/静态,avgC80,至 80% SOC 平均倍率
策略/静态,C1_over_C2,两段倍率之比
电池级-早期汇总,soh150,第 150 圈平滑 SOH
电池级-早期汇总,fade150,前 150 圈衰减量（soh1-soh150）
电池级-早期汇总,soh_lin_slope,前 150 圈线性斜率
电池级-早期汇总,soh_quad_curv,前 150 圈二次项系数（曲率）
电池级-早期汇总,soh_fit_resid_std,线性拟合残差标准差
电池级-早期汇总,pw_a,幂律衰减 loss=a·n^b 的 a
电池级-早期汇总,pw_b,幂律衰减 loss=a·n^b 的 b
电池级-早期汇总,exp_a,指数衰减 SOH=a·e^(-bn)+c 的 a
电池级-早期汇总,exp_b,指数衰减 SOH=a·e^(-bn)+c 的 b
电池级-早期汇总,exp_c,指数衰减 SOH=a·e^(-bn)+c 的 c
电池级-早期汇总,d1_50,第 1→50 圈 SOH_smooth 变化量
电池级-早期汇总,d50_100,第 50→100 圈 SOH_smooth 变化量
电池级-早期汇总,d100_150,第 100→150 圈 SOH_smooth 变化量
电池级-早期汇总,soh_slope_1_50,前 50 圈斜率（早期快指标）
电池级-早期汇总,ir_mean,前 150 圈内阻均值
电池级-早期汇总,ir_std,前 150 圈内阻标准差
电池级-早期汇总,ir_slope,前 150 圈内阻斜率
电池级-早期汇总,ir_rel_end,第 150 圈相对第 1 圈内阻变化率
电池级-早期汇总,tavg_mean,前 150 圈温度均值
电池级-早期汇总,tavg_std,前 150 圈温度标准差
电池级-早期汇总,tavg_slope,前 150 圈温度斜率
电池级-早期汇总,ct_mean,前 150 圈充电时间均值
电池级-早期汇总,ct_std,前 150 圈充电时间标准差
电池级-早期汇总,ct_slope,前 150 圈充电时间斜率
